inchikey,n1_frag,n3_frag,c4_frag,c5_frag,smiles_cation,smiles_neutral
QWUDSENRYNSGKC-UHFFFAOYSA-N,Et,iPr,OMe,F,CC[n+]1cn(C(C)C)c(OC)c1F,CCN1[C]N(C(C)C)C(OC)=C1F
QWZLBAHZPJPXGQ-UHFFFAOYSA-N,Vinyl,Allyl,H,Me,C=CCn1cc(C)[n+](C=C)c1,C=CCN1[C]N(C=C)C(C)=C1
QXAMWQNEWGLROB-UHFFFAOYSA-N,Me,Ph,CF3,CN,C[n+]1cn(-c2ccccc2)c(C(F)(F)F)c1C#N,CN1[C]N(c2ccccc2)C(C(F)(F)F)=C1C#N
QXCOEYZNRABOFR-UHFFFAOYSA-N,nBu,Vinyl,CF3,CN,C=Cn1c[n+](CCCC)c(C#N)c1C(F)(F)F,C=CN1[C]N(CCCC)C(C#N)=C1C(F)(F)F
QXJORRHIZLUBAF-UHFFFAOYSA-N,Me,Ethynyl,OMe,CN,C#Cn1c[n+](C)c(C#N)c1OC,C#CN1[C]N(C)C(C#N)=C1OC
QXVFQONZUUJBIW-UHFFFAOYSA-N,Vinyl,Vinyl,CN,NH2,C=Cn1c[n+](C=C)c(N)c1C#N,C=CN1[C]N(C=C)C(C#N)=C1N
QYBROJNXEYQLEB-UHFFFAOYSA-N,Me,Propargyl,NO2,H,C#CCn1c[n+](C)cc1[N+](=O)[O-],C#CCN1[C]N(C)C=C1[N+](=O)[O-]
QYCHHLVWWXGJJA-UHFFFAOYSA-N,nBu,Ph,CF3,NH2,CCCC[n+]1cn(-c2ccccc2)c(C(F)(F)F)c1N,CCCCN1[C]N(c2ccccc2)C(C(F)(F)F)=C1N
QYMLTRLUPFVUNN-UHFFFAOYSA-N,Ethynyl,Ph,NH2,Me,C#C[n+]1cn(-c2ccccc2)c(N)c1C,C#CN1[C]N(c2ccccc2)C(N)=C1C
QYYJSMGMQQLLDZ-UHFFFAOYSA-N,Me,Et,F,F,CCn1c[n+](C)c(F)c1F,CCN1[C]N(C)C(F)=C1F
QZFSABIOROOPQG-UHFFFAOYSA-N,Ethynyl,Ethynyl,CF3,OMe,C#Cn1c[n+](C#C)c(OC)c1C(F)(F)F,C#CN1[C]N(C#C)C(C(F)(F)F)=C1OC
QZGZVRCMPISMOO-UHFFFAOYSA-N,nBu,tBu,CF3,NH2,CCCC[n+]1cn(C(C)(C)C)c(C(F)(F)F)c1N,CCCCN1[C]N(C(C)(C)C)C(C(F)(F)F)=C1N
QZWOJRGSYOSCON-UHFFFAOYSA-N,nBu,Ethynyl,CF3,OMe,C#Cn1c[n+](CCCC)c(OC)c1C(F)(F)F,C#CN1[C]N(CCCC)C(OC)=C1C(F)(F)F
QZXSRDYCUSBTHS-UHFFFAOYSA-N,tBu,Allyl,F,H,C=CCn1c[n+](C(C)(C)C)cc1F,C=CCN1[C]N(C(C)(C)C)C=C1F
RAIUGQMIRFOXIL-UHFFFAOYSA-N,Me,tBu,CN,NH2,C[n+]1cn(C(C)(C)C)c(C#N)c1N,CN1[C]N(C(C)(C)C)C(C#N)=C1N
RARNNPMDXXTDBV-UHFFFAOYSA-N,nBu,Ph,H,Me,CCCC[n+]1cn(-c2ccccc2)cc1C,CCCCN1[C]N(c2ccccc2)C=C1C
RATKDJDMBGPDPZ-UHFFFAOYSA-N,Ethynyl,Ethynyl,CN,NO2,C#Cn1c[n+](C#C)c([N+](=O)[O-])c1C#N,C#CN1[C]N(C#C)C([N+](=O)[O-])=C1C#N
RBBDSINTYAAWLC-UHFFFAOYSA-N,Vinyl,Allyl,H,H,C=CCn1cc[n+](C=C)c1,C=CCN1[C]N(C=C)C=C1
RBKFFSUUCLDQER-UHFFFAOYSA-N,nBu,tBu,CN,Me,CCCC[n+]1cn(C(C)(C)C)c(C#N)c1C,CCCCN1[C]N(C(C)(C)C)C(C#N)=C1C
RBKKFTPVVYJUDM-UHFFFAOYSA-N,Me,Ph,H,CN,C[n+]1cn(-c2ccccc2)cc1C#N,CN1[C]N(c2ccccc2)C=C1C#N
RBSPQCQGDTZQNJ-UHFFFAOYSA-N,tBu,Vinyl,CF3,NO2,C=Cn1c[n+](C(C)(C)C)c([N+](=O)[O-])c1C(F)(F)F,C=CN1[C]N(C(C)(C)C)C([N+](=O)[O-])=C1C(F)(F)F
RBXLVJRJOGTURS-UHFFFAOYSA-N,tBu,Vinyl,CN,OMe,C=Cn1c[n+](C(C)(C)C)c(OC)c1C#N,C=CN1[C]N(C(C)(C)C)C(OC)=C1C#N
RBZAXDIGMPCCHH-UHFFFAOYSA-N,Me,Ethynyl,NH2,H,C#Cn1c[n+](C)cc1N,C#CN1[C]N(C)C=C1N
RBZNAEJYHPTECP-UHFFFAOYSA-N,Me,iPr,CF3,NO2,CC(C)n1c[n+](C)c([N+](=O)[O-])c1C(F)(F)F,CC(C)N1[C]N(C)C([N+](=O)[O-])=C1C(F)(F)F
RCBLCADHJXLXPS-UHFFFAOYSA-N,nBu,Allyl,F,H,C=CCn1c[n+](CCCC)cc1F,C=CCN1[C]N(CCCC)C=C1F
RCKBRVJPBZVEGE-UHFFFAOYSA-N,Ethynyl,Propargyl,CN,OMe,C#CCn1c[n+](C#C)c(OC)c1C#N,C#CCN1[C]N(C#C)C(OC)=C1C#N
RCRAOFCZCYRJDV-UHFFFAOYSA-N,Me,tBu,OMe,NO2,COc1c([N+](=O)[O-])[n+](C)cn1C(C)(C)C,COC1=C([N+](=O)[O-])N(C)[C]N1C(C)(C)C
RCSHSQRJJSOOPK-UHFFFAOYSA-N,tBu,Ethynyl,CN,NH2,C#Cn1c[n+](C(C)(C)C)c(N)c1C#N,C#CN1[C]N(C(C)(C)C)C(N)=C1C#N
RDFOGBRQWCHVAK-UHFFFAOYSA-N,Me,Propargyl,F,NO2,C#CCn1c[n+](C)c([N+](=O)[O-])c1F,C#CCN1[C]N(C)C([N+](=O)[O-])=C1F
RDVXMLJUCBROTH-UHFFFAOYSA-N,Et,tBu,CN,NO2,CC[n+]1cn(C(C)(C)C)c(C#N)c1[N+](=O)[O-],CCN1[C]N(C(C)(C)C)C(C#N)=C1[N+](=O)[O-]
RECLDMYJQCJHEN-UHFFFAOYSA-N,Vinyl,Ph,OMe,NH2,C=C[n+]1cn(-c2ccccc2)c(OC)c1N,C=CN1[C]N(c2ccccc2)C(OC)=C1N
REDYGBJARZZZLK-UHFFFAOYSA-N,Et,Ethynyl,CN,CN,C#Cn1c[n+](CC)c(C#N)c1C#N,C#CN1[C]N(CC)C(C#N)=C1C#N
REQXTCUWMMSRKU-UHFFFAOYSA-N,Et,Allyl,NH2,NO2,C=CCn1c[n+](CC)c([N+](=O)[O-])c1N,C=CCN1[C]N(CC)C([N+](=O)[O-])=C1N
RERJEJGDOYCSMR-UHFFFAOYSA-N,Et,tBu,NH2,OMe,CC[n+]1cn(C(C)(C)C)c(N)c1OC,CCN1[C]N(C(C)(C)C)C(N)=C1OC
REWYPIVNPVBUJV-UHFFFAOYSA-N,Et,Allyl,NO2,CF3,C=CCn1c[n+](CC)c(C(F)(F)F)c1[N+](=O)[O-],C=CCN1[C]N(CC)C(C(F)(F)F)=C1[N+](=O)[O-]
RFBNPNVHMMFHRT-UHFFFAOYSA-N,Me,Et,H,CN,CCn1cc(C#N)[n+](C)c1,CCN1[C]N(C)C(C#N)=C1
RFPFNKDPROIEMU-UHFFFAOYSA-N,nBu,Propargyl,CF3,H,C#CCn1c[n+](CCCC)cc1C(F)(F)F,C#CCN1[C]N(CCCC)C=C1C(F)(F)F
