inchikey,n1_frag,n3_frag,c4_frag,c5_frag,smiles_cation,smiles_neutral
TZCASTBRFQDNNV-UHFFFAOYSA-N,Et,tBu,H,NO2,CC[n+]1cn(C(C)(C)C)cc1[N+](=O)[O-],CCN1[C]N(C(C)(C)C)C=C1[N+](=O)[O-]
TZCPJFIQFYLIJG-UHFFFAOYSA-N,Et,Allyl,H,CN,C=CCn1cc(C#N)[n+](CC)c1,C=CCN1[C]N(CC)C(C#N)=C1
TZSNXQGMUQOZJZ-UHFFFAOYSA-N,tBu,Vinyl,F,NH2,C=Cn1c[n+](C(C)(C)C)c(N)c1F,C=CN1[C]N(C(C)(C)C)C(N)=C1F
TZTKXHLLYRFZRL-UHFFFAOYSA-N,Me,Ethynyl,CF3,CN,C#Cn1c[n+](C)c(C#N)c1C(F)(F)F,C#CN1[C]N(C)C(C#N)=C1C(F)(F)F
UANJKJSHVFHBDZ-UHFFFAOYSA-N,Vinyl,Allyl,CF3,NO2,C=CCn1c[n+](C=C)c([N+](=O)[O-])c1C(F)(F)F,C=CCN1[C]N(C=C)C([N+](=O)[O-])=C1C(F)(F)F
UANVEQUPHKQNDP-UHFFFAOYSA-N,nBu,Allyl,OMe,Me,C=CCn1c[n+](CCCC)c(C)c1OC,C=CCN1[C]N(CCCC)C(C)=C1OC
UAOBXASNPFWWGW-UHFFFAOYSA-N,nBu,Vinyl,NH2,F,C=Cn1c[n+](CCCC)c(F)c1N,C=CN1[C]N(CCCC)C(F)=C1N
UAQOXIAYFYWSEU-UHFFFAOYSA-N,Et,Vinyl,NO2,NO2,C=Cn1c[n+](CC)c([N+](=O)[O-])c1[N+](=O)[O-],C=CN1[C]N(CC)C([N+](=O)[O-])=C1[N+](=O)[O-]
UASOTCIUTSMZKJ-UHFFFAOYSA-N,tBu,Vinyl,NH2,Me,C=Cn1c[n+](C(C)(C)C)c(C)c1N,C=CN1[C]N(C(C)(C)C)C(C)=C1N
UATCEEXBAYCOSD-UHFFFAOYSA-N,nBu,Ph,OMe,NO2,CCCC[n+]1cn(-c2ccccc2)c(OC)c1[N+](=O)[O-],CCCCN1[C]N(c2ccccc2)C(OC)=C1[N+](=O)[O-]
UBKKWNQAWJPCBZ-UHFFFAOYSA-N,Me,tBu,OMe,NH2,COc1c(N)[n+](C)cn1C(C)(C)C,COC1=C(N)N(C)[C]N1C(C)(C)C
UBVRNLFBRCLOLV-UHFFFAOYSA-N,tBu,Propargyl,OMe,F,C#CCn1c[n+](C(C)(C)C)c(F)c1OC,C#CCN1[C]N(C(C)(C)C)C(F)=C1OC
UBWRQDXQCJBMEE-UHFFFAOYSA-N,Me,Et,CN,NH2,CCn1c[n+](C)c(N)c1C#N,CCN1[C]N(C)C(N)=C1C#N
UCBAFIAZTQBHHR-UHFFFAOYSA-N,Ethynyl,Ph,OMe,F,C#C[n+]1cn(-c2ccccc2)c(OC)c1F,C#CN1[C]N(c2ccccc2)C(OC)=C1F
UCCZAANHUZUSCK-UHFFFAOYSA-N,nBu,iPr,CF3,NO2,CCCC[n+]1cn(C(C)C)c(C(F)(F)F)c1[N+](=O)[O-],CCCCN1[C]N(C(C)C)C(C(F)(F)F)=C1[N+](=O)[O-]
UCEDPPRBWNDXAO-UHFFFAOYSA-N,tBu,Ph,NO2,H,CC(C)(C)[n+]1cc([N+](=O)[O-])n(-c2ccccc2)c1,CC(C)(C)N1[C]N(c2ccccc2)C([N+](=O)[O-])=C1
UCKVZJOXVKNCIO-UHFFFAOYSA-N,Vinyl,Ph,H,OMe,C=C[n+]1cn(-c2ccccc2)cc1OC,C=CN1[C]N(c2ccccc2)C=C1OC
UCRFLAGGWHZKAP-UHFFFAOYSA-N,tBu,Ethynyl,CF3,F,C#Cn1c[n+](C(C)(C)C)c(F)c1C(F)(F)F,C#CN1[C]N(C(C)(C)C)C(F)=C1C(F)(F)F
UCWLYGQPUZDDJE-UHFFFAOYSA-N,tBu,Propargyl,NH2,OMe,C#CCn1c[n+](C(C)(C)C)c(OC)c1N,C#CCN1[C]N(C(C)(C)C)C(OC)=C1N
UCWUPSGOTYGOII-UHFFFAOYSA-N,Et,iPr,CN,H,CC[n+]1cc(C#N)n(C(C)C)c1,CCN1[C]N(C(C)C)C(C#N)=C1
UDIFZWMURUOAOJ-UHFFFAOYSA-N,tBu,Vinyl,CF3,CN,C=Cn1c[n+](C(C)(C)C)c(C#N)c1C(F)(F)F,C=CN1[C]N(C(C)(C)C)C(C#N)=C1C(F)(F)F
UEKRHVQEKSHIMU-UHFFFAOYSA-N,nBu,Vinyl,CN,CN,C=Cn1c[n+](CCCC)c(C#N)c1C#N,C=CN1[C]N(CCCC)C(C#N)=C1C#N
UENVPBGWKWVDGV-UHFFFAOYSA-N,tBu,Vinyl,F,Me,C=Cn1c[n+](C(C)(C)C)c(C)c1F,C=CN1[C]N(C(C)(C)C)C(C)=C1F
UFFPTWPWTHYUEI-UHFFFAOYSA-N,Ethynyl,Ph,F,OMe,C#C[n+]1cn(-c2ccccc2)c(F)c1OC,C#CN1[C]N(c2ccccc2)C(F)=C1OC
UFIPQUKDOBPHKT-UHFFFAOYSA-N,nBu,tBu,CF3,CN,CCCC[n+]1cn(C(C)(C)C)c(C(F)(F)F)c1C#N,CCCCN1[C]N(C(C)(C)C)C(C(F)(F)F)=C1C#N
UFMPTQNQWLSABV-UHFFFAOYSA-N,Me,Et,NO2,CF3,CCn1c[n+](C)c(C(F)(F)F)c1[N+](=O)[O-],CCN1[C]N(C)C(C(F)(F)F)=C1[N+](=O)[O-]
UFQIQPJMNUPXQW-UHFFFAOYSA-N,nBu,Allyl,CN,OMe,C=CCn1c[n+](CCCC)c(OC)c1C#N,C=CCN1[C]N(CCCC)C(OC)=C1C#N
UFQLVOYKJAACOA-UHFFFAOYSA-N,Et,tBu,NO2,OMe,CC[n+]1cn(C(C)(C)C)c([N+](=O)[O-])c1OC,CCN1[C]N(C(C)(C)C)C([N+](=O)[O-])=C1OC
UFXLJDTUIHGROC-UHFFFAOYSA-N,Me,Allyl,OMe,H,C=CCn1c[n+](C)cc1OC,C=CCN1[C]N(C)C=C1OC
UFYRQTNRPPLWFN-UHFFFAOYSA-N,Me,Vinyl,NO2,H,C=Cn1c[n+](C)cc1[N+](=O)[O-],C=CN1[C]N(C)C=C1[N+](=O)[O-]
UGCPLZSPKGRDMW-UHFFFAOYSA-N,Me,Ph,H,H,C[n+]1ccn(-c2ccccc2)c1,CN1[C]N(c2ccccc2)C=C1
UGHZLVIDMIOXOF-UHFFFAOYSA-N,Et,Allyl,F,CF3,C=CCn1c[n+](CC)c(C(F)(F)F)c1F,C=CCN1[C]N(CC)C(C(F)(F)F)=C1F
UGTFTCOPFPVMCI-UHFFFAOYSA-N,tBu,tBu,NO2,CF3,CC(C)(C)n1c[n+](C(C)(C)C)c(C(F)(F)F)c1[N+](=O)[O-],CC(C)(C)N1[C]N(C(C)(C)C)C(C(F)(F)F)=C1[N+](=O)[O-]
UGYCQCPEJVEYLU-UHFFFAOYSA-N,nBu,Ethynyl,CF3,Me,C#Cn1c[n+](CCCC)c(C)c1C(F)(F)F,C#CN1[C]N(CCCC)C(C)=C1C(F)(F)F
UHDPUYHBPWYWJR-UHFFFAOYSA-N,nBu,iPr,CF3,Me,CCCC[n+]1cn(C(C)C)c(C(F)(F)F)c1C,CCCCN1[C]N(C(C)C)C(C(F)(F)F)=C1C
UHTSCDREBLDFAN-UHFFFAOYSA-N,Et,Propargyl,CF3,CN,C#CCn1c[n+](CC)c(C#N)c1C(F)(F)F,C#CCN1[C]N(CC)C(C#N)=C1C(F)(F)F
UIGURVANOJIGQA-UHFFFAOYSA-N,nBu,tBu,NH2,F,CCCC[n+]1cn(C(C)(C)C)c(N)c1F,CCCCN1[C]N(C(C)(C)C)C(N)=C1F
UJLHGQJXPLANHG-UHFFFAOYSA-N,nBu,Ethynyl,OMe,NO2,C#Cn1c[n+](CCCC)c([N+](=O)[O-])c1OC,C#CN1[C]N(CCCC)C([N+](=O)[O-])=C1OC
UJTFXXQCZHACFK-UHFFFAOYSA-N,Me,Vinyl,CN,H,C=Cn1c[n+](C)cc1C#N,C=CN1[C]N(C)C=C1C#N
UJZLISIYUBIXPB-UHFFFAOYSA-N,Me,Et,NH2,CF3,CCn1c[n+](C)c(C(F)(F)F)c1N,CCN1[C]N(C)C(C(F)(F)F)=C1N
UKIFDVSCEMCNGU-UHFFFAOYSA-N,Vinyl,Allyl,OMe,CF3,C=CCn1c[n+](C=C)c(C(F)(F)F)c1OC,C=CCN1[C]N(C=C)C(C(F)(F)F)=C1OC
ULCAQOHYZMORTR-UHFFFAOYSA-N,Vinyl,Propargyl,CF3,NH2,C#CCn1c[n+](C=C)c(N)c1C(F)(F)F,C#CCN1[C]N(C=C)C(N)=C1C(F)(F)F
ULEJVUPITYMXAS-UHFFFAOYSA-N,nBu,iPr,CN,CF3,CCCC[n+]1cn(C(C)C)c(C#N)c1C(F)(F)F,CCCCN1[C]N(C(C)C)C(C#N)=C1C(F)(F)F
ULRFPTWJQQANHE-UHFFFAOYSA-N,Me,Propargyl,H,Me,C#CCn1cc(C)[n+](C)c1,C#CCN1[C]N(C)C(C)=C1
ULURTFNJGXAJHZ-UHFFFAOYSA-N,Et,Propargyl,CF3,Me,C#CCn1c[n+](CC)c(C)c1C(F)(F)F,C#CCN1[C]N(CC)C(C)=C1C(F)(F)F
ULUVVFNDVUJBQT-UHFFFAOYSA-N,Ethynyl,Propargyl,CF3,CF3,C#CCn1c[n+](C#C)c(C(F)(F)F)c1C(F)(F)F,C#CCN1[C]N(C#C)C(C(F)(F)F)=C1C(F)(F)F
UMJYSWREPWCKSU-UHFFFAOYSA-N,Me,Me,H,NH2,Cn1cc(N)[n+](C)c1,CN1[C]N(C)C(N)=C1
UMMUUUXTCCOQSO-UHFFFAOYSA-N,tBu,Ph,CF3,F,CC(C)(C)[n+]1cn(-c2ccccc2)c(C(F)(F)F)c1F,CC(C)(C)N1[C]N(c2ccccc2)C(C(F)(F)F)=C1F
UMVFESCTDAHXES-UHFFFAOYSA-N,nBu,Vinyl,CF3,OMe,C=Cn1c[n+](CCCC)c(OC)c1C(F)(F)F,C=CN1[C]N(CCCC)C(OC)=C1C(F)(F)F
UNHJFEORZSWWQQ-UHFFFAOYSA-N,nBu,Ethynyl,NO2,F,C#Cn1c[n+](CCCC)c(F)c1[N+](=O)[O-],C#CN1[C]N(CCCC)C(F)=C1[N+](=O)[O-]
UNNVNRJHZZPIDW-UHFFFAOYSA-N,Ethynyl,Ph,CF3,NO2,C#C[n+]1cn(-c2ccccc2)c(C(F)(F)F)c1[N+](=O)[O-],C#CN1[C]N(c2ccccc2)C(C(F)(F)F)=C1[N+](=O)[O-]
UNUNQOVPLSYGPI-UHFFFAOYSA-N,tBu,Ethynyl,CF3,H,C#Cn1c[n+](C(C)(C)C)cc1C(F)(F)F,C#CN1[C]N(C(C)(C)C)C=C1C(F)(F)F
UPBBZDJHZSSRID-UHFFFAOYSA-N,Et,Ph,NH2,NH2,CC[n+]1cn(-c2ccccc2)c(N)c1N,CCN1[C]N(c2ccccc2)C(N)=C1N
UPFMFZKJWGLHTH-UHFFFAOYSA-N,Et,Propargyl,OMe,CN,C#CCn1c[n+](CC)c(C#N)c1OC,C#CCN1[C]N(CC)C(C#N)=C1OC
UPUTXGXISABJDP-UHFFFAOYSA-N,Et,Ethynyl,F,CF3,C#Cn1c[n+](CC)c(C(F)(F)F)c1F,C#CN1[C]N(CC)C(C(F)(F)F)=C1F
UPXINIXSOGHWLJ-UHFFFAOYSA-N,Me,Ph,NH2,NO2,C[n+]1cn(-c2ccccc2)c(N)c1[N+](=O)[O-],CN1[C]N(c2ccccc2)C(N)=C1[N+](=O)[O-]
UQCPJJDUQBKCQL-UHFFFAOYSA-N,tBu,Ph,CF3,NO2,CC(C)(C)[n+]1cn(-c2ccccc2)c(C(F)(F)F)c1[N+](=O)[O-],CC(C)(C)N1[C]N(c2ccccc2)C(C(F)(F)F)=C1[N+](=O)[O-]
URABCLRAFKBSFA-UHFFFAOYSA-N,Ethynyl,Propargyl,CF3,OMe,C#CCn1c[n+](C#C)c(OC)c1C(F)(F)F,C#CCN1[C]N(C#C)C(OC)=C1C(F)(F)F
URAWRKCPQYOQNB-UHFFFAOYSA-N,Et,Ph,H,OMe,CC[n+]1cn(-c2ccccc2)cc1OC,CCN1[C]N(c2ccccc2)C=C1OC
URVOTIIJTVYIPO-UHFFFAOYSA-N,tBu,Ethynyl,F,CF3,C#Cn1c[n+](C(C)(C)C)c(C(F)(F)F)c1F,C#CN1[C]N(C(C)(C)C)C(C(F)(F)F)=C1F
USAZUUORPYBVBT-UHFFFAOYSA-N,nBu,iPr,NO2,OMe,CCCC[n+]1cn(C(C)C)c([N+](=O)[O-])c1OC,CCCCN1[C]N(C(C)C)C([N+](=O)[O-])=C1OC
USCIALSNODMXRC-UHFFFAOYSA-N,Ethynyl,Ph,NO2,CF3,C#C[n+]1cn(-c2ccccc2)c([N+](=O)[O-])c1C(F)(F)F,C#CN1[C]N(c2ccccc2)C([N+](=O)[O-])=C1C(F)(F)F
USMCABKZHSAGSF-UHFFFAOYSA-N,nBu,Vinyl,CF3,NH2,C=Cn1c[n+](CCCC)c(N)c1C(F)(F)F,C=CN1[C]N(CCCC)C(N)=C1C(F)(F)F
USVKOEJMPBQQJB-UHFFFAOYSA-N,Et,Propargyl,H,H,C#CCn1cc[n+](CC)c1,C#CCN1[C]N(CC)C=C1
USWTVAMVICAJCK-UHFFFAOYSA-N,tBu,Vinyl,F,F,C=Cn1c[n+](C(C)(C)C)c(F)c1F,C=CN1[C]N(C(C)(C)C)C(F)=C1F
UTMOCSGPZFDCDC-UHFFFAOYSA-N,Vinyl,Allyl,CF3,F,C=CCn1c[n+](C=C)c(F)c1C(F)(F)F,C=CCN1[C]N(C=C)C(F)=C1C(F)(F)F
UTNGCYFWWBDSQI-UHFFFAOYSA-N,Me,Allyl,OMe,NH2,C=CCn1c[n+](C)c(N)c1OC,C=CCN1[C]N(C)C(N)=C1OC
UTQLDNFGKRLIRF-UHFFFAOYSA-N,Et,Vinyl,CN,NH2,C=Cn1c[n+](CC)c(N)c1C#N,C=CN1[C]N(CC)C(N)=C1C#N
UTSIFCDLGKMABP-UHFFFAOYSA-N,Et,Allyl,CF3,CF3,C=CCn1c[n+](CC)c(C(F)(F)F)c1C(F)(F)F,C=CCN1[C]N(CC)C(C(F)(F)F)=C1C(F)(F)F
UTUVAGQFRZQQDQ-UHFFFAOYSA-N,nBu,Propargyl,F,CN,C#CCn1c[n+](CCCC)c(C#N)c1F,C#CCN1[C]N(CCCC)C(C#N)=C1F
UTYAAFUCPMZTCR-UHFFFAOYSA-N,Me,iPr,F,F,CC(C)n1c[n+](C)c(F)c1F,CC(C)N1[C]N(C)C(F)=C1F
UUVLCGHUBYGXOD-UHFFFAOYSA-N,Me,iPr,OMe,NO2,COc1c([N+](=O)[O-])[n+](C)cn1C(C)C,COC1=C([N+](=O)[O-])N(C)[C]N1C(C)C
UVELGMGKDCMDNT-UHFFFAOYSA-N,tBu,Vinyl,NO2,NH2,C=Cn1c[n+](C(C)(C)C)c(N)c1[N+](=O)[O-],C=CN1[C]N(C(C)(C)C)C(N)=C1[N+](=O)[O-]
UVHWZMHHDQZUDE-UHFFFAOYSA-N,nBu,iPr,NO2,H,CCCC[n+]1cc([N+](=O)[O-])n(C(C)C)c1,CCCCN1[C]N(C(C)C)C([N+](=O)[O-])=C1
UVLCXJHFDKFHHQ-UHFFFAOYSA-N,Et,Propargyl,H,CF3,C#CCn1cc(C(F)(F)F)[n+](CC)c1,C#CCN1[C]N(CC)C(C(F)(F)F)=C1
UVVGTULTGHXUCD-UHFFFAOYSA-N,Me,Propargyl,H,NO2,C#CCn1cc([N+](=O)[O-])[n+](C)c1,C#CCN1[C]N(C)C([N+](=O)[O-])=C1
UVWXYSFLTWWOII-UHFFFAOYSA-N,tBu,Allyl,CF3,NH2,C=CCn1c[n+](C(C)(C)C)c(N)c1C(F)(F)F,C=CCN1[C]N(C(C)(C)C)C(N)=C1C(F)(F)F
UVZRMBOPCGRCBH-UHFFFAOYSA-N,Me,Propargyl,H,NH2,C#CCn1cc(N)[n+](C)c1,C#CCN1[C]N(C)C(N)=C1
UWIVQNHDMVKITE-UHFFFAOYSA-N,Vinyl,Vinyl,H,NO2,C=Cn1cc([N+](=O)[O-])[n+](C=C)c1,C=CN1[C]N(C=C)C([N+](=O)[O-])=C1
UWMUHVDQFALKCV-UHFFFAOYSA-N,Vinyl,Allyl,H,OMe,C=CCn1cc(OC)[n+](C=C)c1,C=CCN1[C]N(C=C)C(OC)=C1
UWRCWQQCOQYUSS-UHFFFAOYSA-N,Ethynyl,Propargyl,NO2,CN,C#CCn1c[n+](C#C)c(C#N)c1[N+](=O)[O-],C#CCN1[C]N(C#C)C(C#N)=C1[N+](=O)[O-]
UXEBIUVVKFDVLW-UHFFFAOYSA-N,Et,Ph,CF3,OMe,CC[n+]1cn(-c2ccccc2)c(C(F)(F)F)c1OC,CCN1[C]N(c2ccccc2)C(C(F)(F)F)=C1OC
UXPQSZNGRKCRAT-UHFFFAOYSA-N,tBu,tBu,H,CF3,CC(C)(C)n1cc(C(F)(F)F)[n+](C(C)(C)C)c1,CC(C)(C)N1[C]N(C(C)(C)C)C(C(F)(F)F)=C1
UXXPGXCOIVSBQZ-UHFFFAOYSA-N,Vinyl,Vinyl,H,CF3,C=Cn1cc(C(F)(F)F)[n+](C=C)c1,C=CN1[C]N(C=C)C(C(F)(F)F)=C1
UYPBOTTTZHFVRQ-UHFFFAOYSA-N,Me,Vinyl,H,F,C=Cn1cc(F)[n+](C)c1,C=CN1[C]N(C)C(F)=C1
UYRVHLBWLMNKPM-UHFFFAOYSA-N,Et,Et,NO2,NH2,CCn1c[n+](CC)c(N)c1[N+](=O)[O-],CCN1[C]N(CC)C([N+](=O)[O-])=C1N
UYUNIVHXYWEKHT-UHFFFAOYSA-N,nBu,Propargyl,CF3,NO2,C#CCn1c[n+](CCCC)c([N+](=O)[O-])c1C(F)(F)F,C#CCN1[C]N(CCCC)C([N+](=O)[O-])=C1C(F)(F)F
UYVTYBDVUSLCJA-UHFFFAOYSA-N,Me,iPr,H,H,CC(C)n1cc[n+](C)c1,CC(C)N1[C]N(C)C=C1
UYXABNRCOJRQHW-UHFFFAOYSA-N,Vinyl,Propargyl,OMe,CF3,C#CCn1c[n+](C=C)c(C(F)(F)F)c1OC,C#CCN1[C]N(C=C)C(C(F)(F)F)=C1OC
UZEZXIASJCABDK-UHFFFAOYSA-N,Vinyl,Propargyl,NO2,CF3,C#CCn1c[n+](C=C)c(C(F)(F)F)c1[N+](=O)[O-],C#CCN1[C]N(C=C)C(C(F)(F)F)=C1[N+](=O)[O-]
UZHVDQRENBLVHI-UHFFFAOYSA-N,Vinyl,Allyl,F,Me,C=CCn1c[n+](C=C)c(C)c1F,C=CCN1[C]N(C=C)C(C)=C1F
UZSJYFHVOAMWIL-UHFFFAOYSA-N,Ethynyl,Ph,H,H,C#C[n+]1ccn(-c2ccccc2)c1,C#CN1[C]N(c2ccccc2)C=C1
UZSOTFQHNZRLQN-UHFFFAOYSA-N,Et,iPr,F,NH2,CC[n+]1cn(C(C)C)c(F)c1N,CCN1[C]N(C(C)C)C(F)=C1N
VAVBSGVEACDCBB-UHFFFAOYSA-N,nBu,Vinyl,NO2,OMe,C=Cn1c[n+](CCCC)c(OC)c1[N+](=O)[O-],C=CN1[C]N(CCCC)C(OC)=C1[N+](=O)[O-]
VBEWGUBXCRALIG-UHFFFAOYSA-N,Vinyl,Ethynyl,H,H,C#Cn1cc[n+](C=C)c1,C#CN1[C]N(C=C)C=C1
VBHYGTRDORTFLL-UHFFFAOYSA-N,nBu,Allyl,CF3,NH2,C=CCn1c[n+](CCCC)c(N)c1C(F)(F)F,C=CCN1[C]N(CCCC)C(N)=C1C(F)(F)F
VBIISGLZUMNIEO-UHFFFAOYSA-N,Vinyl,Vinyl,NO2,NO2,C=Cn1c[n+](C=C)c([N+](=O)[O-])c1[N+](=O)[O-],C=CN1[C]N(C=C)C([N+](=O)[O-])=C1[N+](=O)[O-]
VBNHYZPQUIRURF-UHFFFAOYSA-N,Et,Ethynyl,OMe,CN,C#Cn1c[n+](CC)c(C#N)c1OC,C#CN1[C]N(CC)C(C#N)=C1OC
VBVAGIXFDAKDKL-UHFFFAOYSA-N,nBu,tBu,F,OMe,CCCC[n+]1cn(C(C)(C)C)c(F)c1OC,CCCCN1[C]N(C(C)(C)C)C(F)=C1OC
VBZVFIPJLKUQFT-UHFFFAOYSA-N,tBu,Allyl,H,NO2,C=CCn1cc([N+](=O)[O-])[n+](C(C)(C)C)c1,C=CCN1[C]N(C(C)(C)C)C([N+](=O)[O-])=C1
VCRLSCAIZHMSMU-UHFFFAOYSA-N,Me,Propargyl,H,H,C#CCn1cc[n+](C)c1,C#CCN1[C]N(C)C=C1
VDEKCDBFIGKHOI-UHFFFAOYSA-N,Vinyl,Allyl,OMe,CN,C=CCn1c[n+](C=C)c(C#N)c1OC,C=CCN1[C]N(C=C)C(C#N)=C1OC
VDFZFPDWRZPPIZ-UHFFFAOYSA-N,nBu,Ph,F,CN,CCCC[n+]1cn(-c2ccccc2)c(F)c1C#N,CCCCN1[C]N(c2ccccc2)C(F)=C1C#N
VDIZIOXNHYGMTG-UHFFFAOYSA-N,Me,Allyl,H,OMe,C=CCn1cc(OC)[n+](C)c1,C=CCN1[C]N(C)C(OC)=C1
VDKSUTHHWPKKQN-UHFFFAOYSA-N,tBu,Ethynyl,CN,Me,C#Cn1c[n+](C(C)(C)C)c(C)c1C#N,C#CN1[C]N(C(C)(C)C)C(C)=C1C#N
VDYJLTBUWXENFS-UHFFFAOYSA-N,Me,Vinyl,OMe,NO2,C=Cn1c[n+](C)c([N+](=O)[O-])c1OC,C=CN1[C]N(C)C([N+](=O)[O-])=C1OC
VEUQAHXIIJGYSM-UHFFFAOYSA-N,Vinyl,Allyl,NO2,H,C=CCn1c[n+](C=C)cc1[N+](=O)[O-],C=CCN1[C]N(C=C)C=C1[N+](=O)[O-]
VEVZSBSGVMTFQF-UHFFFAOYSA-N,nBu,Ethynyl,H,OMe,C#Cn1cc(OC)[n+](CCCC)c1,C#CN1[C]N(CCCC)C(OC)=C1
VEZPHITYHQSITQ-UHFFFAOYSA-N,Me,Vinyl,H,OMe,C=Cn1cc(OC)[n+](C)c1,C=CN1[C]N(C)C(OC)=C1
VFFVTLULDHFVAX-UHFFFAOYSA-N,Me,Ethynyl,CN,OMe,C#Cn1c[n+](C)c(OC)c1C#N,C#CN1[C]N(C)C(OC)=C1C#N
VFGQJFYOXICQRM-UHFFFAOYSA-N,nBu,iPr,H,H,CCCC[n+]1ccn(C(C)C)c1,CCCCN1[C]N(C(C)C)C=C1
VFLXWPHFYBFATJ-UHFFFAOYSA-N,Ethynyl,Ethynyl,H,CN,C#Cn1cc(C#N)[n+](C#C)c1,C#CN1[C]N(C#C)C(C#N)=C1
VFOAPTBWEKUAGP-UHFFFAOYSA-N,Me,Me,CN,OMe,COc1c(C#N)n(C)c[n+]1C,COC1=C(C#N)N(C)[C]N1C
VGKDXRORACIVCN-UHFFFAOYSA-N,Me,iPr,H,NH2,CC(C)n1cc(N)[n+](C)c1,CC(C)N1[C]N(C)C(N)=C1
VGLUVJXJUUJDNE-UHFFFAOYSA-N,Me,iPr,OMe,H,COc1c[n+](C)cn1C(C)C,COC1=CN(C)[C]N1C(C)C
VGZNCRZCLZMYFG-UHFFFAOYSA-N,Me,Me,F,CF3,Cn1c[n+](C)c(C(F)(F)F)c1F,CN1[C]N(C)C(C(F)(F)F)=C1F
VHIZAMQTARJAPU-UHFFFAOYSA-N,Me,Propargyl,NO2,NO2,C#CCn1c[n+](C)c([N+](=O)[O-])c1[N+](=O)[O-],C#CCN1[C]N(C)C([N+](=O)[O-])=C1[N+](=O)[O-]
VHXAPQHXUHFAIB-UHFFFAOYSA-N,Vinyl,Propargyl,F,CN,C#CCn1c[n+](C=C)c(C#N)c1F,C#CCN1[C]N(C=C)C(C#N)=C1F
VINBSJYICOEQHR-UHFFFAOYSA-N,Et,Allyl,CN,F,C=CCn1c[n+](CC)c(F)c1C#N,C=CCN1[C]N(CC)C(F)=C1C#N
VIQKSDBVBHQRTJ-UHFFFAOYSA-N,Ethynyl,Ethynyl,CF3,NH2,C#Cn1c[n+](C#C)c(N)c1C(F)(F)F,C#CN1[C]N(C#C)C(C(F)(F)F)=C1N
VITQMEZLCSYIIR-UHFFFAOYSA-N,Vinyl,Ph,NH2,CF3,C=C[n+]1cn(-c2ccccc2)c(N)c1C(F)(F)F,C=CN1[C]N(c2ccccc2)C(N)=C1C(F)(F)F
VJKNLSRGGLYVGI-UHFFFAOYSA-N,Et,Propargyl,CF3,H,C#CCn1c[n+](CC)cc1C(F)(F)F,C#CCN1[C]N(CC)C=C1C(F)(F)F
VJTIINXRDNUZGV-UHFFFAOYSA-N,Me,Ethynyl,CN,F,C#Cn1c[n+](C)c(F)c1C#N,C#CN1[C]N(C)C(F)=C1C#N
VJVAOLWLUJTRPT-UHFFFAOYSA-N,tBu,Propargyl,F,Me,C#CCn1c[n+](C(C)(C)C)c(C)c1F,C#CCN1[C]N(C(C)(C)C)C(C)=C1F
VKQYWHOBUDJPFH-UHFFFAOYSA-N,Vinyl,Ph,NO2,F,C=C[n+]1cn(-c2ccccc2)c([N+](=O)[O-])c1F,C=CN1[C]N(c2ccccc2)C([N+](=O)[O-])=C1F
VKVGXDNWYGVNDH-UHFFFAOYSA-N,Me,Propargyl,NH2,H,C#CCn1c[n+](C)cc1N,C#CCN1[C]N(C)C=C1N
VLQQDAQQCKZTLF-UHFFFAOYSA-N,tBu,Ph,CF3,H,CC(C)(C)[n+]1cc(C(F)(F)F)n(-c2ccccc2)c1,CC(C)(C)N1[C]N(c2ccccc2)C(C(F)(F)F)=C1
VLWJKEXDJVIQCN-UHFFFAOYSA-N,nBu,iPr,CN,OMe,CCCC[n+]1cn(C(C)C)c(C#N)c1OC,CCCCN1[C]N(C(C)C)C(C#N)=C1OC
VMIFRNOUJIOBDN-UHFFFAOYSA-N,Vinyl,Vinyl,H,OMe,C=Cn1cc(OC)[n+](C=C)c1,C=CN1[C]N(C=C)C(OC)=C1
VMJIRCYJQPGHMF-UHFFFAOYSA-N,Et,iPr,H,NO2,CC[n+]1cn(C(C)C)cc1[N+](=O)[O-],CCN1[C]N(C(C)C)C=C1[N+](=O)[O-]
VMKNNBJRWUYWKU-UHFFFAOYSA-N,Et,tBu,OMe,NH2,CC[n+]1cn(C(C)(C)C)c(OC)c1N,CCN1[C]N(C(C)(C)C)C(OC)=C1N
VMMIJEMGVFOUSB-UHFFFAOYSA-N,Vinyl,Allyl,CN,CN,C=CCn1c[n+](C=C)c(C#N)c1C#N,C=CCN1[C]N(C=C)C(C#N)=C1C#N
VMPLCQGCPFXKMZ-UHFFFAOYSA-N,Me,Et,NH2,NO2,CCn1c[n+](C)c([N+](=O)[O-])c1N,CCN1[C]N(C)C([N+](=O)[O-])=C1N
VNAXOBRIIIESHB-UHFFFAOYSA-N,Vinyl,Ethynyl,F,F,C#Cn1c[n+](C=C)c(F)c1F,C#CN1[C]N(C=C)C(F)=C1F
VNDRUOSERCGCKL-UHFFFAOYSA-N,Vinyl,Ethynyl,H,OMe,C#Cn1cc(OC)[n+](C=C)c1,C#CN1[C]N(C=C)C(OC)=C1
VNGXUWYTCJPXCX-UHFFFAOYSA-N,Me,Allyl,F,CF3,C=CCn1c[n+](C)c(C(F)(F)F)c1F,C=CCN1[C]N(C)C(C(F)(F)F)=C1F
